[2026-05-16 21:57:22] DITOLAK Skor 40% Nominal Rp1 Tagihan Rp0 Data {'docType': 'Bukti Pembayaran', 'nominal': 'Rp1', 'rrn': '', 'tanggal': '', 'aplikasiAsal': '', 'pengirim': '', 'aplikasiTujuan': '', 'penerima': '', 'confidence': 40}
[2026-05-16 21:57:22] DITOLAK Skor 70% Nominal Rp13590000 Tagihan Rp0 Data {'docType': 'Bukti Pembayaran', 'nominal': 'Rp135,900.00', 'rrn': '20220111100056949889', 'tanggal': '11 Jan 2022', 'aplikasiAsal': '', 'pengirim': '', 'aplikasiTujuan': '', 'penerima': '', 'confidence': 70}
[2026-05-16 21:57:23] DITOLAK Skor 100% Nominal Rp0 Tagihan Rp0 Data {'docType': 'Bukti Pembayaran', 'nominal': 'Rp.', 'rrn': '175767916293', 'tanggal': '', 'aplikasiAsal': '', 'pengirim': '', 'aplikasiTujuan': 'ShopeePay', 'penerima': '', 'confidence': 100}
[2026-05-16 21:57:24] DITOLAK Skor 100% Nominal Rp0 Tagihan Rp0 Data {'docType': 'Bukti Pembayaran', 'nominal': 'Rp.', 'rrn': '166755766087', 'tanggal': '', 'aplikasiAsal': '', 'pengirim': '', 'aplikasiTujuan': 'ShopeePay', 'penerima': '', 'confidence': 100}
[2026-05-16 21:57:26] DITOLAK Skor 30% Nominal Rp0 Tagihan Rp0 Data {'docType': 'Bukti Pembayaran', 'nominal': '', 'rrn': '601000305309', 'tanggal': '', 'aplikasiAsal': 'Bank BRI', 'pengirim': '', 'aplikasiTujuan': '', 'penerima': '', 'confidence': 30}
[2026-05-16 21:57:26] DITOLAK Skor 70% Nominal Rp1418918 Tagihan Rp0 Data {'docType': 'Bukti Pembayaran', 'nominal': 'Rp 1.418.918', 'rrn': '', 'tanggal': '20/07/2023', 'aplikasiAsal': '', 'pengirim': '', 'aplikasiTujuan': '', 'penerima': '', 'confidence': 70}
[2026-05-16 21:57:27] DITOLAK Skor 70% Nominal Rp13310000 Tagihan Rp0 Data {'docType': 'Bukti Pembayaran', 'nominal': 'Rp 133.100,00', 'rrn': '859730412897', 'tanggal': '13 Okt 2022', 'aplikasiAsal': '', 'pengirim': '', 'aplikasiTujuan': '', 'penerima': '', 'confidence': 70}
[2026-05-16 21:57:27] DITOLAK Skor 60% Nominal Rp0 Tagihan Rp0 Data {'docType': 'Bukti Pembayaran', 'nominal': '', 'rrn': '22082613770083', 'tanggal': '26/08/2022', 'aplikasiAsal': '', 'pengirim': '', 'aplikasiTujuan': 'DANA', 'penerima': '', 'confidence': 60}
[2026-05-16 21:57:28] DITOLAK Skor 30% Nominal Rp0 Tagihan Rp0 Data {'docType': 'Bukti Pembayaran', 'nominal': '', 'rrn': '6281234530045', 'tanggal': '', 'aplikasiAsal': '', 'pengirim': '', 'aplikasiTujuan': '', 'penerima': '', 'confidence': 30}
[2026-05-16 21:57:29] DITOLAK Skor 30% Nominal Rp0 Tagihan Rp0 Data {'docType': 'Bukti Pembayaran', 'nominal': '', 'rrn': '9360091501639796107', 'tanggal': '', 'aplikasiAsal': '', 'pengirim': '', 'aplikasiTujuan': '', 'penerima': '', 'confidence': 30}
